320		# total colors
16		# column width
# palette data r,g,b,a
0,0,0,255
0,255,0,255
255,0,0,255
0,0,0,255
180,180,0,255
180,212,0,255
88,180,0,255
180,180,180,255
0,180,0,255
180,255,0,255
255,180,0,255
0,180,0,255
0,180,0,255
0,255,180,255
88,180,0,255
0,0,180,255
0,180,0,255
180,88,0,255
88,0,180,255
180,0,0,255
0,180,0,255
180,255,0,255
88,0,0,255
180,180,180,255
180,0,0,255
60,255,0,255
88,0,0,255
180,180,0,255
180,0,180,255
60,192,180,255
192,180,0,255
180,0,180,255
0,88,0,255
88,180,0,255
180,0,0,255
88,88,88,255
180,255,0,255
255,60,0,255
0,180,0,255
255,255,255,255
0,255,0,255
255,180,0,255
180,180,0,255
88,255,88,255
0,255,0,255
88,180,180,255
0,180,0,255
88,88,255,255
0,255,0,255
255,0,0,255
0,0,180,255
255,88,88,255
0,255,0,255
255,180,0,255
0,0,0,255
255,255,255,255
180,88,0,255
212,180,0,255
0,0,0,255
255,255,88,255
180,192,180,255
212,0,180,255
0,180,0,255
255,88,255,255
88,88,0,255
88,180,0,255
255,88,0,255
88,88,88,255
255,255,0,255
255,60,0,255
88,255,0,255
255,255,255,255
192,255,0,255
255,180,0,255
255,255,0,255
88,255,88,255
88,255,0,255
88,180,180,255
88,255,0,255
88,88,255,255
88,255,0,255
255,0,0,255
88,88,180,255
255,88,88,255
88,255,0,255
255,180,0,255
88,88,0,255
255,255,255,255
255,88,0,255
212,180,0,255
88,88,0,255
255,255,88,255
255,192,180,255
212,0,180,255
192,255,0,255
255,88,255,255
0,88,0,255
88,255,0,255
255,88,0,255
0,0,88,255
180,255,0,255
255,212,0,255
88,255,0,255
229,229,255,255
0,255,0,255
255,255,0,255
255,255,0,255
0,229,88,255
0,255,0,255
88,255,180,255
88,255,0,255
0,0,255,255
0,255,0,255
255,88,0,255
88,88,180,255
229,0,88,255
0,255,0,255
255,255,0,255
88,88,0,255
229,229,255,255
180,88,0,255
212,255,0,255
88,88,0,255
229,229,88,255
180,192,180,255
212,192,180,255
192,255,0,255
229,0,255,255
88,0,0,255
88,255,0,255
180,0,0,255
0,88,0,255
255,180,0,255
255,212,0,255
0,180,0,255
180,255,180,255
192,180,0,255
255,255,0,255
180,180,0,255
0,255,0,255
88,180,0,255
88,255,180,255
0,180,0,255
0,88,180,255
88,180,0,255
255,88,0,255
0,0,180,255
180,88,0,255
88,180,0,255
255,255,0,255
0,0,0,255
180,255,180,255
255,0,0,255
212,255,0,255
0,0,0,255
180,255,0,255
255,0,180,255
212,192,180,255
0,180,0,255
180,88,180,255
0,0,0,255
88,255,0,255
255,88,88,255
88,0,0,255
180,180,0,255
255,212,0,255
88,255,88,255
255,180,180,255
0,180,0,255
255,255,0,255
255,255,88,255
88,180,0,255
0,180,0,255
88,255,180,255
88,255,88,255
88,0,180,255
0,180,0,255
255,88,0,255
88,88,255,255
255,0,0,255
0,180,0,255
255,255,0,255
88,88,88,255
255,180,180,255
180,0,0,255
212,255,0,255
88,88,88,255
255,180,0,255
180,0,180,255
212,192,180,255
192,255,88,255
255,0,180,255
0,0,0,255
0,255,0,255
180,0,0,255
0,0,0,255
229,229,0,255
180,212,0,255
0,180,0,255
229,229,180,255
133,229,0,255
180,255,0,255
180,180,0,255
0,229,0,255
0,229,0,255
0,255,180,255
0,180,0,255
0,0,180,255
0,229,0,255
180,88,0,255
0,0,180,255
229,0,0,255
0,229,0,255
180,255,0,255
0,0,0,255
229,229,180,255
229,0,0,255
60,255,0,255
0,0,0,255
229,229,0,255
229,133,229,255
60,192,180,255
0,180,0,255
229,0,180,255
0,88,0,255
0,255,0,255
255,88,88,255
88,88,0,255
180,255,0,255
229,212,0,255
88,255,88,255
255,255,180,255
0,255,0,255
229,255,0,255
255,255,88,255
88,255,0,255
0,255,0,255
0,255,180,255
88,255,88,255
88,88,180,255
0,255,0,255
229,88,0,255
88,88,255,255
255,88,0,255
0,255,0,255
229,255,0,255
88,88,88,255
255,255,180,255
180,88,0,255
166,255,0,255
88,88,88,255
255,255,0,255
180,192,180,255
166,192,180,255
192,255,88,255
255,88,180,255
0,0,0,255
255,255,255,255
0,255,0,255
255,180,0,255
0,0,0,255
255,255,255,255
255,60,0,255
0,0,0,255
0,0,0,255
255,0,0,255
255,255,255,255
0,0,255,255
0,0,0,255
255,255,255,255
255,0,0,255
255,180,0,255
0,0,0,255
0,0,255,255
255,255,0,255
255,255,255,255
0,0,0,255
255,60,0,255
255,255,255,255
192,255,0,255
0,0,0,255
255,0,0,255
255,60,0,255
255,180,0,255
0,0,0,255
0,0,255,255
0,180,0,255
255,255,0,255
0,0,0,255
255,180,0,255
255,255,255,255
0,0,255,255
0,0,0,255
255,0,0,255
255,255,0,255
0,255,0,255
0,0,0,255
0,0,0,255
255,255,255,255
0,0,0,255
0,0,0,255
255,255,0,255
255,255,255,255
0,0,255,255
0,0,0,255
0,255,0,255
255,180,0,255
255,255,255,255
0,0,0,255
0,255,0,255
255,0,0,255
0,0,0,255
0,0,0,255
0,255,0,255
255,60,0,255
0,180,0,255
0,0,0,255
255,255,255,255
255,255,255,255
255,255,255,255
